Scraped by,Name,URL,user_id,Bio(text),星座,Sex,following count,fans count,liked n collected,ip_location,tags(text),图文报价(RMB),图文报价有对号,红人健康等级,平台等级,活跃粉丝占比(仅>1K),粉丝女性比例,粉丝年龄<18,粉丝年龄18-24,粉丝年龄25-34,粉丝年龄35-44,粉丝年龄>44,兴趣标签,地域分布,
Yucheng ,YSZ,https://www.xiaohongshu.com/user/profile/5a5bf1414eacab4087b808c7,5a5bf1414eacab4087b808c7,"分享生活
喜欢看演唱会
吃美食
旅游
不定时更新🤓🤠",,F,1835,857,727000,,美国,40,0,,泡泡薯,null,90.91,12.18,25.52,39.51,16.63,6.13,"1	美食	6.46%
2	时尚	5.48%
3	家居家装	5.45%
4	美妆	5.25%
5	素材	4.48%","1	广东	11.25%
2	江苏	7.51%
3	山东	6.95%
4	浙江	6.36%
5	河南	5.76%",
Yucheng,Katrinalove,https://www.xiaohongshu.com/user/profile/57edc02550c4b47c9e876daf,57edc02550c4b47c9e876daf,"生活在美国十几年的中国人 （留学开始的） 喜欢拼图 乐高 分享购物和美食
wandonglovekatrina@gmail.com",,F,229,2481,77000,,美国,3000,1,优秀,金冠薯,58.99,65.37,8.19,17,32.55,26.23,16.01,"1	生活记录	12.85%
2	娱乐	8.23%
3	美食	7.47%
4	影视	5.73%
5	时尚	5.03%","1	海外	15.88%
2	广东	12.96%
3	江苏	7.71%
4	浙江	7.54%
5	北京	7.23%",
Yucheng,喵小碗,https://www.xiaohongshu.com/user/profile/556f1983f5a26347140b104b,556f1983f5a26347140b104b,"家有大喵和小喵 @铁锅炖pizza 👩🏻‍❤️‍👩🏻
Dalian✈️Michigan✈️Texas✈️Shanghai
卖飞专业户
不爱敲码的Trader不是好厨子
斜杠少女",,F,313,1117,14000,,美国达拉斯市,200,1,优秀,困困薯,59.91,60.95,2.73,14.04,51.02,23.11,9.04,"1        生活记录        14.58%
2        美食        10.64%
3        娱乐        8.07%
4        职场        5.18%
5        影视        5.02%","1	海外	51.13%
2	广东	6.98%
3	上海	5.41%
4	浙江	4.84%
5	黑龙江	3.27%",
Yucheng,达拉斯吃货小分队队员,https://www.xiaohongshu.com/user/profile/5ee6752c000000000101dc73,5ee6752c000000000101dc73,虽然没吃饱时只有一个烦恼，吃饱了就有无数个烦恼。但谁肯饿着肚子呢。边聊边吃，走起！😋🍾️🥮🥟🥗🦪🍑🧄🥖🥨🥜🍻🍯🍱,天枰,F,30,4479,19000,,美国,170,0,,文化薯,39.92,88.29,11.2,32.8,38.84,13.28,3.86,"1	美食	6.16%
2	时尚	4.66%
3	美妆	4.11%
4	出行	3.96%
5	素材	3.79%","1	广东	9.74%
2	江苏	6.32%
3	山东	5.75%
4	浙江	5.47%
5	河南	4.74%",
Yucheng,小猫,https://www.xiaohongshu.com/user/profile/5e1d86f90000000001006abc,5e1d86f90000000001006abc,哈尔滨➡️上海➡️休斯顿➡️明尼阿波利斯➡️西雅图➡️达拉斯,Virgo,F,322,1119,11000,,美国,50,0,,金冠薯,30.02,85.84,16.98,23.11,29.49,18.4,11.99,"1	美食	7.17%
2	时尚	5.13%
3	家居家装	4.97%
4	影视	4.87%
5	娱乐	4.25%","1	广东	11.30%
2	江苏	7.54%
3	山东	6.67%
4	浙江	6.39%
5	河南	5.57%",
Yucheng,鱼鱼酱,https://www.xiaohongshu.com/user/profile/5a7b0ca44eacab082944e6e3,5a7b0ca44eacab082944e6e3,"👉🏻ENFP（E中I人P中J人版）
📝佛系分享记录| 有空看看演出
✨野生美食探索家 | 老kpop人
🐱🐶想撸遍全世界的猫猫狗狗",,F,98,858,43000,,"美国 27岁
美食博主",30,0,,金冠薯,null,85.62,17.59,32.51,31.82,12.53,5.53,"1	美食	6.86%
2	时尚	5.29%
3	影视	4.54%
4	素材	4.47%
5	娱乐	4.21%","1	广东	10.77%
2	江苏	7.23%
3	山东	6.84%
4	浙江	5.78%
5	河南	5.59%",
Yucheng,变美变富的一枚CPA,https://www.xiaohongshu.com/user/profile/580c368650c4b44811e07ff8,580c368650c4b44811e07ff8,"172 的美国财务审计师
中国海洋大学985 本科—美国硕士SMU
分享 职场/美食/旅游/购物/日常
副业：宠物寄养，单卧出租，CPA考试辅导💭
人生主线：搞钱 💰是爱写东西的i人",,F,16,717,7055,,美国,30,0,,"困困薯",null,88.78,22.8,33.91,28.1,10.55,4.62,"1	美食	6.41%
2	时尚	5.84%
3	影视	5.23%
4	娱乐	4.54%
5	美妆	4.10%","1	广东	11.00%
2	江苏	6.84%
3	山东	6.76%
4	浙江	5.75%
5	河南	5.31%",
Yucheng,傻、孩孓👑,https://www.xiaohongshu.com/user/profile/5d01cb140000000017003df6,5d01cb140000000017003df6,"3033 W Parker rd 214
Plano , Tx 75023
East Wall Chinese Cuisine",,F,3746,668,1940,,美国,30,0,,甜筒薯,null,87.97,27.6,29.35,27.03,11.28,4.72,"1	美食	7.59%
2	影视	5.84%
3	素材	5.03%
4	兴趣爱好	4.87%
5	时尚	4.65%","1	广东	10.50%
2	山东	7.87%
3	江苏	7.23%
4	河南	6.55%
5	浙江	5.53%",
Yucheng,苹果头在路上,https://www.xiaohongshu.com/user/profile/587623ba6a6a691cffba0875,587623ba6a6a691cffba0875,"｜35+ 会计打工人
｜喜爱跳舞/追剧/分享生活有用信息/偶尔健身/男宝妈",,F,99,573,5689,,美国,20,0,,泡泡薯,null,91.88,64.38,25.4,4.43,3.38,1.99,"1	素材	9.40%
2	影视	7.18%
3	娱乐	5.90%
4	人文	5.30%
5	兴趣爱好	4.85%","1	山东	8.40%
2	河南	8.38%
3	广东	8.36%
4	江苏	7.18%
5	河北	5.45%",
Yucheng,温不温,https://www.xiaohongshu.com/user/profile/5deef4710000000001006a73,5deef4710000000001006a73,❌不喜勿入,,F,359,449,5385,,美国,10,0,,泡泡薯,null,86.51,21.8,31.3,29.56,12.09,5.21,"1	美食	6.10%
2	影视	4.83%
3	时尚	4.82%
4	素材	4.73%
5	娱乐	4.10%","1	广东	10.43%
2	江苏	6.81%
3	山东	6.67%
4	河南	5.53%
5	浙江	5.48%",
