Scraped by,Name,URL,user_id,Bio(text),星座,Sex,following count,fans count,liked n collected,ip_location,tags(text),图文报价(RMB),图文报价有对号,红人健康等级,什么薯?,活跃粉丝占比(仅>1K),粉丝女性比例,(先不填)近180天粉丝增量,粉丝年龄<18,粉丝年龄18-24,粉丝年龄25-34,粉丝年龄35-44,粉丝年龄>44,兴趣标签,地域分布,笔记热词
Yucheng ,YSZ,https://www.xiaohongshu.com/user/profile/5a5bf1414eacab4087b808c7,5a5bf1414eacab4087b808c7,"分享生活
喜欢看演唱会
吃美食
旅游
不定时更新🤓🤠",,F,1835.0,857.0,727000,,美国,40,0.0,,泡泡薯,,90.91,,12.18,25.52,39.51,16.63,6.13,"1	美食	6.46%
2	时尚	5.48%
3	家居家装	5.45%
4	美妆	5.25%
5	素材	4.48%","1	广东	11.25%
2	江苏	7.51%
3	山东	6.95%
4	浙江	6.36%
5	河南	5.76%",
Yucheng,达拉斯吃货小分队队员,https://www.xiaohongshu.com/user/profile/5ee6752c000000000101dc73,5ee6752c000000000101dc73,虽然没吃饱时只有一个烦恼，吃饱了就有无数个烦恼。但谁肯饿着肚子呢。边聊边吃，走起！😋🍾️🥮🥟🥗🦪🍑🧄🥖🥨🥜🍻🍯🍱,天枰,F,30.0,4479.0,19000,,美国,170,0.0,,文化薯,39.92,88.29,,11.2,32.8,38.84,13.28,3.86,"1	美食	6.16%
2	时尚	4.66%
3	美妆	4.11%
4	出行	3.96%
5	素材	3.79%","1	广东	9.74%
2	江苏	6.32%
3	山东	5.75%
4	浙江	5.47%
5	河南	4.74%",海底捞新品、肩肉、Frisco、番茄、新品
Yucheng,Katrinalove,https://www.xiaohongshu.com/user/profile/57edc02550c4b47c9e876daf,57edc02550c4b47c9e876daf,"生活在美国十几年的中国人 （留学开始的） 喜欢拼图 乐高 分享购物和美食
wandonglovekatrina@gmail.com",,F,229.0,2481.0,77000,,美国,3000,1.0,优秀,金冠薯,58.99,65.37,,8.19,17.0,32.55,26.23,16.01,"1	生活记录	12.85%
2	娱乐	8.23%
3	美食	7.47%
4	影视	5.73%
5	时尚	5.03%","1	海外	15.88%
2	广东	12.96%
3	江苏	7.71%
4	浙江	7.54%
5	北京	7.23%","
dallas、生活、美国、dallas生活、haribo"
Yucheng,小fafa,https://www.xiaohongshu.com/user/profile/5c4be6f500000000100050c6,5c4be6f500000000100050c6,"📍TX🇺🇸
吃喝｜遛娃｜摄影｜旅行
旅行笔记已分类📁",,F,180.0,1731.0,30000,,"UnitedStates...
摄影博主",,0.0,,甜筒薯,48.11,89.8,,18.59,27.9,35.41,14.46,3，61,"1	美食	5.34%
2	时尚	4.46%
3	影视	3.66%
4	素材	3.52%
5	美妆	3.40%","1	广东	8.13%
2	江苏	7.08%
3	上海	5.23%
4	浙江	5.21%
5	山东	5.21%",
Yucheng,小猫,https://www.xiaohongshu.com/user/profile/5e1d86f90000000001006abc,5e1d86f90000000001006abc,哈尔滨➡️上海➡️休斯顿➡️明尼阿波利斯➡️西雅图➡️达拉斯,Virgo,F,322.0,1119.0,11000,,美国,50,0.0,,金冠薯,30.02,85.84,,16.98,23.11,29.49,18.4,11.99,"1	美食	7.17%
2	时尚	5.13%
3	家居家装	4.97%
4	影视	4.87%
5	娱乐	4.25%","1	广东	11.30%
2	江苏	7.54%
3	山东	6.67%
4	浙江	6.39%
5	河南	5.57%",
Yucheng,喵小碗,https://www.xiaohongshu.com/user/profile/556f1983f5a26347140b104b,556f1983f5a26347140b104b,"家有大喵和小喵 @铁锅炖pizza 👩🏻‍❤️‍👩🏻
Dalian✈️Michigan✈️Texas✈️Shanghai
卖飞专业户
不爱敲码的Trader不是好厨子
斜杠少女",,F,313.0,1117.0,14000,,美国达拉斯市,200,1.0,优秀,困困薯,,,,,,,,,,,
Yucheng,卿卿桑,https://www.xiaohongshu.com/user/profile/585dce396a6a69308e6d580d,585dce396a6a69308e6d580d,"北京人在🇺🇸🌟
老留子留美10年🌟
Major in 吃喝玩乐🌟",Scorpio,M,57.0,1106.0,5042,,美国,40,0.0,,,65.31,91.88,,64.38,25.8,4.43,3.38,1.99,"1美食        6.86%        
2美食探店        5.67%        
3纽约美食        1.97%        
4冬天去哪玩        1.48%        
5旅游出行        1.33%        
","1	山东	8.40%
2	河南	8.38%
3	广东	8.36%
4	江苏	7.18%
5	河北	5.45%",
Yucheng,Esther 星星 ✨,https://www.xiaohongshu.com/user/profile/621a0927000000001000f950,621a0927000000001000f950,"生而自由 爱而无畏
清醒知进退 酷而不失浪漫
我是ENFP快乐小狗🐶
Ig：estherxingxing01
谢谢你这么好看还关注我哦❤️",,F,907.0,993.0,14000,,美国,,0.0,,甜筒薯,,87.25,,39.62,29.04,17.33,9.43,4.56,"1	影视	5.95%
2	素材	5.70%
3	娱乐	5.22%
4	美食	4.83%
5	时尚	4.75%","1	广东	9.32%
2	山东	7.44%
3	江苏	6.59%
4	河南	6.13%
5	浙江	4.88%",
Yucheng,鱼鱼酱,https://www.xiaohongshu.com/user/profile/5a7b0ca44eacab082944e6e3,5a7b0ca44eacab082944e6e3,"👉🏻ENFP（E中I人P中J人版）
📝佛系分享记录| 有空看看演出
✨野生美食探索家 | 老kpop人
🐱🐶想撸遍全世界的猫猫狗狗",,F,98.0,858.0,43000,,"美国 27岁
美食博主",,,,,,,,,,,,,,,
Yucheng,变美变富的一枚CPA,https://www.xiaohongshu.com/user/profile/580c368650c4b44811e07ff8,580c368650c4b44811e07ff8,"172 的美国财务审计师
中国海洋大学985 本科—美国硕士SMU
分享 职场/美食/旅游/购物/日常
副业：宠物寄养，单卧出租，CPA考试辅导💭
人生主线：搞钱 💰是爱写东西的i人",,F,16.0,717.0,7055,,美国,,,,,,,,,,,,,,,
Yucheng,傻、孩孓👑,https://www.xiaohongshu.com/user/profile/5d01cb140000000017003df6,5d01cb140000000017003df6,"3033 W Parker rd 214
Plano , Tx 75023
East Wall Chinese Cuisine",,F,3746.0,668.0,1940,,美国,,,,,,,,,,,,,,,
